ticketcategory,component,description,status,symptoms,internalpriority
High CPU Utilization,None,auslswinsd1740 : CPU Load 99% (15 min average),CLOSED,None,4
Port not responding,PORT,pgwapl02 PORT 22 CRITICAL: 172.21.4.24/22 is not responding,CLOSED,None,2
High CPU Utilization,None,auslswinsd1564 : CPU Load 94% (15 min average),CLOSED,None,4
Memory Usage,None,scsydpapp04 Memory usage: total:32767.83 MB - used: 27953.80 MB (85%) - free: 4814.03 MB (15%),CLOSED,None,3
Port not responding,PORT,auslslnxsd2764 : PORT 5666 CRITICAL: 10.42.130.198/5666 is not responding,CLOSED,None,4
High CPU Utilization,None,dwn-sqtbm02p WARNING - load average: 19.58,CLOSED,RAM WARNING,4
Error connecting to Server: Connection refused,PORT,auslswinsp0064 : connect to address 10.41.132.70 and port 12489: Connection refused\\ncould not fetc,CLOSED,None,4
High CPU Utilization,None,AUSLSLNXSP0250.RAD.WBCAU.WESTPAC.COM.AU status is changed to MINOR: auslslnxsp0250 : CRITICAL - load,CLOSED,None,4
High CPU Utilization,None,auslswinsd1548 : CPU Load 99% (15 min average),CLOSED,None,4
RTA nan,None,"connect01 CRITICAL - 192.168.100.11: rta nan  lost 100%""",CLOSED," lost 100%""",1
Memory Usage,None,scsydpapp04 Memory usage: total:40905.24 MB - used: 39140.56 MB (96%) - free: 1764.68 MB (4%),CLOSED,None,2
Port not responding,PORT,auslswinsp0064 : PORT 5666 CRITICAL: 10.41.132.70/5666 is not responding,CLOSED,None,4
Socket Timeout,None,auslswinsp0240 : CRITICAL - Socket timeout after 10 seconds\\n,CLOSED,None,4
High CPU Utilization,None,auslswinsd1530 : CPU Load 98% (15 min average),CLOSED,None,4
High CPU Utilization,None,auslswinsd1505 : CPU Load 96% (15 min average),CLOSED,None,4
Other Issue,None,pgwapl01 CRITICAL - (10 errors in check_logfiles.protocol-2018-03-15-20-25-52) - 2018-03-15 20:25:44.241 JST 147 com.ibm.cis.aif.obclient.rest.RestClient#request AIFOB090 50   E [ASN_00000035_pgwserver1_20180315202543418] OutboundÃ¨Â¦ÂÃ¦Â±Â‚Ã£Â‚Â’Ã¥Â‡Â¦Ã§ÂÂ†Ã£,CLOSED,10 errors in check_logfiles.protocol,2
RTA nan,None,"iotapana01 CRITICAL - 172.21.1.69: rta nan  lost 100%""",CLOSED," lost 100%""",1
Socket Timeout,None,auslswinsp0071 : CRITICAL - Socket timeout after 10 seconds\\n,CLOSED,None,4
File Permission Issue,DISK,auslslnxsd5536 : DISK CRITICAL - /wdp/var/docker/devicemapper/mnt/4accae6ff840f78858a5a2bd110abb065b,,,
Disk Space,DISK,auslslnxsd3110 : DISK WARNING - free space: /opt/sw/CA 715 MB (7% inode=96%):,,,
